"Destination","Year","Total","Latitude","Longitude","code"
"United States",2012,204,37.09024,-95.712891,"USA"
"Australia",2013,370,-25.274398,133.775136,"AUS"
"Austria",2013,2589,47.516231,14.550072,"AUT"
"Belgium",2013,892,50.503887,4.469936,"BEL"
"Bosnia and Herzegovina",2013,6,43.915886,17.679076,"BIH"
"Bulgaria",2013,304,42.733883,25.48583,"BGR"
"Canada",2013,386,56.130366,-106.346771,"CAN"
"Croatia",2013,185,45.1,15.2,"HRV"
"Cyprus",2013,6,35.126413,33.429859,"CYP"
"Czech Republic",2013,8,49.817492,15.472962,"CZE"
"Denmark",2013,425,56.26392,9.501785,"DNK"
"Estonia",2013,1,58.595272,25.013607,"EST"
"Finland",2013,172,61.92411,25.748151,"FIN"
"France",2013,526,46.227638,2.213749,"FRA"
"Germany",2013,7735,51.165691,10.451526,"DEU"
"Greece",2013,1223,39.074208,21.824312,"GRC"
"Hungary",2013,2279,47.162494,19.503304,"HUN"
"Iceland",2013,4,64.963051,-19.020835,"ISL"
"Ireland",2013,32,53.41291,-8.24389,"IRL"
"Italy",2013,2049,41.87194,12.56738,"ITA"
"Japan",2013,3,36.204824,138.252924,"JPN"
"Liechtenstein",2013,1,47.166,9.555373,"LIE"
"Lithuania",2013,45,55.169438,23.881275,"LTU"
"Luxembourg",2013,17,49.815273,6.129583,"LUX"
"Macedonia [FYROM]",2013,262,41.608635,21.745275,"MKD"
"Montenegro",2013,186,42.708678,19.37439,"MNE"
"Netherlands",2013,673,52.132633,5.291266,"NLD"
"New Zealand",2013,7,-40.900557,174.885971,"NZL"
"Norway",2013,720,60.472024,8.468946,"NOR"
"Poland",2013,43,51.919438,19.145136,"POL"
"Portugal",2013,2,39.399872,-8.224454,"PRT"
"Romania",2013,39,45.943161,24.96676,"ROU"
"Serbia",2013,492,44.016521,21.005859,"SRB"
